"country_code","country_name","continent","population_2010","population_2011","population_2012","population_2013","population_2014","population_2015","population_2016","population_2017","population_2018","population_2019","deathrate_2010","deathrate_2011","deathrate_2012","deathrate_2013","deathrate_2014","deathrate_2015","deathrate_2016","deathrate_2017","deathrate_2018","deathrate_2019","GDP(US$)_2010","GDP(US$)_2011","GDP(US$)_2012","GDP(US$)_2013","GDP(US$)_2014","GDP(US$)_2015","GDP(US$)_2016","GDP(US$)_2017","GDP(US$)_2018","GDP(US$)_2019","active_HIV_cases_children_2010","active_HIV_cases_children_2011","active_HIV_cases_children_2012","active_HIV_cases_children_2013","active_HIV_cases_children_2014","active_HIV_cases_children_2015","active_HIV_cases_children_2016","active_HIV_cases_children_2017","active_HIV_cases_children_2018","active_HIV_cases_male_adults_2010","active_HIV_cases_male_adults_2011","active_HIV_cases_male_adults_2012","active_HIV_cases_male_adults_2013","active_HIV_cases_male_adults_2014","active_HIV_cases_male_adults_2015","active_HIV_cases_male_adults_2016","active_HIV_cases_male_adults_2017","active_HIV_cases_male_adults_2018","active_HIV_cases_female_adults_2010","active_HIV_cases_female_adults_2011","active_HIV_cases_female_adults_2012","active_HIV_cases_female_adults_2013","active_HIV_cases_female_adults_2014","active_HIV_cases_female_adults_2015","active_HIV_cases_female_adults_2016","active_HIV_cases_female_adults_2017","active_HIV_cases_female_adults_2018","aids_deaths_children_2010","aids_deaths_children_2011","aids_deaths_children_2012","aids_deaths_children_2013","aids_deaths_children_2014","aids_deaths_children_2015","aids_deaths_children_2016","aids_deaths_children_2017","aids_deaths_children_2018","aids_deaths_male_adults_2010","aids_deaths_male_adults_2011","aids_deaths_male_adults_2012","aids_deaths_male_adults_2013","aids_deaths_male_adults_2014","aids_deaths_male_adults_2015","aids_deaths_male_adults_2016","aids_deaths_male_adults_2017","aids_deaths_male_adults_2018","aids_deaths_female_adults_2010","aids_deaths_female_adults_2011","aids_deaths_female_adults_2012","aids_deaths_female_adults_2013","aids_deaths_female_adults_2014","aids_deaths_female_adults_2015","aids_deaths_female_adults_2016","aids_deaths_female_adults_2017","aids_deaths_female_adults_2018"
"SLB","Solomon Islands","Oceania",527861,541521,556064,571335,587079,603118,619437,636038,652858,NA,4.752,4.672,4.592,4.516,4.444,4.38,4.326,4.284,NA,NA,1290.39878585913,1722.41812107591,1913.23201256373,1977.45140452319,1996.78118438995,1914.46792975705,1986.41622920675,2059.04542688849,2137.69069539357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOM","Somalia","Africa",12043883,12376302,12715510,13063706,13423576,13797201,14185613,14589119,15008154,NA,12.869,12.601,12.331,12.06,11.793,11.534,11.289,11.062,NA,NA,NA,NA,NA,297.95547180533,295.266500446376,293.455235696952,295.967851645127,309.055354770056,314.544165670763,NA,7600,7300,6900,6600,6300,6100,5900,5700,5600,7300,6800,6200,5700,5200,4800,4500,4200,3900,7600,7300,6900,6600,6300,6100,5900,5700,5600,500,500,500,200,200,200,200,200,200,1000,1000,1000,500,500,500,500,500,500,1000,1000,500,500,500,500,500,500,500
"ZAF","South Africa","Africa",51216964,52004172,52834005,53689236,54545991,55386367,56203654,57000451,57779622,NA,12.085,11.483,10.918,10.43,10.044,9.769,9.599,9.498,NA,NA,7328.61562893966,8007.41284634441,7501.4699839525,6832.45689096701,6433.18727662894,5734.63362915331,5272.91842475419,6132.4798409721,6374.02819575944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,13000,11000,9300,8300,7100,6800,5600,4400,56000,50000,43000,37000,33000,31000,31000,31000,33000,69000,58000,47000,42000,39000,37000,36000,34000,33000
"SSD","South Sudan","Africa",9508364,9830698,10113647,10355036,10554883,10715658,10832512,10910759,10975920,NA,11.984,11.669,11.399,11.171,10.983,10.826,10.694,10.574,NA,NA,1535.70818548721,1516.40391495385,1179.7398280342,1779.4693355202,1322.82023755896,1119.65133182314,NA,NA,NA,NA,73000,76000,79000,82000,86000,90000,95000,1e+05,1e+05,53000,55000,57000,59000,61000,64000,66000,70000,73000,73000,76000,79000,82000,86000,90000,95000,1e+05,1e+05,2000,2000,2000,2000,2100,2000,2000,1900,1900,3300,3500,3700,3700,3700,3700,3600,3700,3500,4500,4700,4700,4800,4600,4200,3700,4300,4400
"ESP","Spain","Europe",46576897,46742697,46773055,46620045,46480882,46444832,46483569,46593236,46723749,NA,8.2,8.3,8.6,8.3,8.5,9.1,8.8,9,NA,NA,30502.7197080776,31636.4463142558,28324.4293363918,29059.5479522321,29461.5503337389,25732.0183647454,26505.6243284919,28100.8522848303,30370.8923252247,NA,25000,25000,26000,26000,26000,27000,27000,27000,27000,110000,110000,110000,120000,120000,120000,120000,120000,120000,25000,25000,26000,26000,26000,27000,27000,27000,27000,100,100,100,100,100,100,100,100,NA,1100,1000,1000,1000,1000,1000,1000,1000,NA,200,200,200,200,200,200,200,200,NA
"LKA","Sri Lanka","Asia",20261737,20398670,20425000,20585000,20778000,20970000,21203000,21444000,21670000,NA,6.02,6.076,6.135,6.204,6.282,6.368,6.459,6.554,NA,NA,2799.64887619972,3200.83382914016,3350.52187589289,3610.28936304898,3819.25352972265,3843.78067184442,3886.29150165239,4104.63098320435,4102.48135014467,NA,1200,1200,1200,1200,1200,1100,1100,1100,1000,2700,2700,2700,2600,2500,2500,2500,2400,2400,1200,1200,1200,1200,1200,1100,1100,1100,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100
"KNA","St. Kitts and Nevis","Americas",49016,49447,49887,50331,50774,51203,51625,52045,52441,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,15508.616989766,16538.0965328384,16044.5569951052,16685.026605354,18051.8900749728,18029.3255386512,18811.9451170299,19155.4317310874,19275.4185126566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LCA","St. Lucia","Americas",174085,175544,176646,177513,178296,179126,180024,180955,181889,NA,6.577,6.712,6.84,6.947,7.028,7.084,7.123,7.16,NA,NA,8037.47296712228,8227.39408163575,8151.99241336827,8358.90516938666,8744.29122441417,9262.25611518645,9452.05536381157,10039.6714141126,10566.0497458462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAF","St. Martin (French part)","Americas",37582,37446,37009,36453,36015,35858,36065,36560,37264,NA,3.8,3.9,4,4,4.1,4.2,4.2,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VCT","St. Vincent and the Grenadines","Americas",108255,108316,108435,108622,108861,109148,109459,109827,110210,NA,7.79,8.004,8.234,8.462,8.678,8.87,9.032,9.162,NA,NA,6292.78982922694,6242.19328083946,6390.31438871896,6639.60714595024,6684.80736732912,6920.87807380804,7075.06582034944,7212.96018080962,7361.4009618002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
