"country_code","country_name","continent","population_2010","population_2011","population_2012","population_2013","population_2014","population_2015","population_2016","population_2017","population_2018","population_2019","deathrate_2010","deathrate_2011","deathrate_2012","deathrate_2013","deathrate_2014","deathrate_2015","deathrate_2016","deathrate_2017","deathrate_2018","deathrate_2019","GDP(US$)_2010","GDP(US$)_2011","GDP(US$)_2012","GDP(US$)_2013","GDP(US$)_2014","GDP(US$)_2015","GDP(US$)_2016","GDP(US$)_2017","GDP(US$)_2018","GDP(US$)_2019","active_HIV_cases_children_2010","active_HIV_cases_children_2011","active_HIV_cases_children_2012","active_HIV_cases_children_2013","active_HIV_cases_children_2014","active_HIV_cases_children_2015","active_HIV_cases_children_2016","active_HIV_cases_children_2017","active_HIV_cases_children_2018","active_HIV_cases_male_adults_2010","active_HIV_cases_male_adults_2011","active_HIV_cases_male_adults_2012","active_HIV_cases_male_adults_2013","active_HIV_cases_male_adults_2014","active_HIV_cases_male_adults_2015","active_HIV_cases_male_adults_2016","active_HIV_cases_male_adults_2017","active_HIV_cases_male_adults_2018","active_HIV_cases_female_adults_2010","active_HIV_cases_female_adults_2011","active_HIV_cases_female_adults_2012","active_HIV_cases_female_adults_2013","active_HIV_cases_female_adults_2014","active_HIV_cases_female_adults_2015","active_HIV_cases_female_adults_2016","active_HIV_cases_female_adults_2017","active_HIV_cases_female_adults_2018","aids_deaths_children_2010","aids_deaths_children_2011","aids_deaths_children_2012","aids_deaths_children_2013","aids_deaths_children_2014","aids_deaths_children_2015","aids_deaths_children_2016","aids_deaths_children_2017","aids_deaths_children_2018","aids_deaths_male_adults_2010","aids_deaths_male_adults_2011","aids_deaths_male_adults_2012","aids_deaths_male_adults_2013","aids_deaths_male_adults_2014","aids_deaths_male_adults_2015","aids_deaths_male_adults_2016","aids_deaths_male_adults_2017","aids_deaths_male_adults_2018","aids_deaths_female_adults_2010","aids_deaths_female_adults_2011","aids_deaths_female_adults_2012","aids_deaths_female_adults_2013","aids_deaths_female_adults_2014","aids_deaths_female_adults_2015","aids_deaths_female_adults_2016","aids_deaths_female_adults_2017","aids_deaths_female_adults_2018"
"TON","Tonga","Oceania",103986,103562,102737,101768,101028,100781,101133,101998,103197,NA,7.179,7.205,7.225,7.239,7.245,7.24,7.223,7.194,NA,NA,3553.22061448636,4084.6241317437,4597.74230534531,4428.56648134984,4393.9408110033,4320.63799011384,3966.15652021899,4217.47650679527,4364.01556134949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTO","Trinidad and Tobago","Americas",1328147,1336178,1344817,1353700,1362342,1370328,1377564,1384072,1389858,NA,7.77,7.815,7.866,7.925,7.993,8.07,8.159,8.261,NA,NA,16683.3553787376,19034.1491966652,19157.4170366712,20143.6644489582,20270.8593716518,18289.704340369,16176.9473700573,16238.1931916674,17129.9130902577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUN","Tunisia","Africa",10635244,10741880,10847002,10952951,11063201,11179949,11303946,11433443,11565204,NA,6.194,6.241,6.274,6.294,6.301,6.298,6.287,6.274,NA,NA,4141.97635336459,4264.67494604737,4152.67858707583,4222.70324540611,4305.47416504834,3861.68853113497,3698.05850375479,3482.18672918633,3447.50790975551,NA,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1100,1200,1400,1500,1600,1700,1800,1900,500,500,1000,1000,1000,1000,1000,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"TUR","Turkey","Asia",72326988,73443863,74653016,75928564,77231907,78529409,79821724,81101892,82319724,NA,5.697,5.619,5.547,5.484,5.436,5.404,5.39,5.394,NA,NA,10672.3892452162,11335.5105096808,11707.2597122125,12519.3914259008,12095.8545719465,10948.7246068236,10820.633842346,10513.6484152661,9370.1763438282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TKM","Turkmenistan","Asia",5087213,5174085,5267900,5366375,5466328,5565287,5662372,5757669,5850908,NA,7.214,7.189,7.167,7.145,7.122,7.098,7.076,7.057,NA,NA,4439.20038235805,5649.95227819669,6675.18565772239,7304.28713230982,7962.23909840679,6432.68070195019,6389.54840833488,6587.09031628698,6966.63541063077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCA","Turks and Caicos Islands","Americas",32660,33377,34066,34731,35369,35981,36559,37115,37665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21028.4081445193,21835.0831410852,21009.8858098984,21328.9790101062,23296.3369051995,24832.5963703066,25995.1724609535,25933.6074363465,27142.2277976902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUV","Tuvalu","Oceania",10530,10633,10739,10857,10972,11099,11225,11370,11508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3022.28882031784,3640.86143317968,3507.93691138349,3454.6849532077,3398.81894157592,3197.79564502867,3255.89486619818,3572.60836706326,3700.71067713471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UGA","Uganda","Africa",32428167,33476919,34559168,35695246,36912148,38225453,39647506,41162465,42723139,NA,9.659,9.114,8.605,8.138,7.716,7.345,7.031,6.769,NA,NA,622.498845744984,602.684651383698,668.832461950198,689.154814165601,739.373926961991,709.021038589161,608.705735097409,631.522719792278,642.776744292007,NA,620000,640000,660000,680000,7e+05,720000,740000,760000,770000,430000,440000,460000,470000,480000,490000,5e+05,5e+05,510000,620000,640000,660000,680000,7e+05,720000,740000,760000,770000,16000,15000,12000,11000,9300,8300,6500,5900,5500,16000,15000,14000,15000,15000,13000,13000,12000,11000,24000,22000,21000,16000,11000,8600,7300,7200,7000
"UKR","Ukraine","Europe",45870700,45706100,45593300,45489600,45271947,45154029,45004645,44831135,44622516,NA,15.2,14.5,14.5,14.6,14.7,14.9,14.7,14.5,NA,NA,2965.14236549771,3569.75702740477,3855.4212801318,4029.71550372131,3104.65829575449,2124.66266591114,2187.73199668415,2640.67567655839,3095.17358053586,NA,74000,75000,76000,77000,79000,81000,82000,84000,86000,160000,150000,150000,150000,150000,150000,150000,150000,150000,74000,75000,76000,77000,79000,81000,82000,84000,86000,200,200,100,100,100,100,100,100,100,9100,8900,8700,7600,6700,6300,6500,5500,5000,3100,2900,2800,2200,1600,1400,1800,1300,1000
"ARE","United Arab Emirates","Asia",8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203,9630959,NA,1.403,1.382,1.369,1.363,1.366,1.377,1.398,1.429,NA,NA,33893.303514039,39194.6766208456,40976.4997112455,42412.6302780364,43751.8388860721,38663.3838066363,38141.8467585492,39811.634701763,43004.9533584848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBR","United Kingdom","Europe",62766365,63258918,63700300,64128226,64613160,65128861,65595565,66058859,66488991,NA,8.9,8.7,8.9,9,8.8,9.2,9.1,9.2,NA,NA,39435.8399018505,42038.5004790349,42462.7149069427,43444.5648427389,47417.6350484639,44966.1019252665,41074.1672796521,40361.4173832159,42943.9022698053,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,72000,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,100,NA
"USA","United States","Americas",309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,NA,7.995,8.073,8.102,8.215,8.237,8.44,8.493,8.5,NA,NA,48466.8233750801,49883.1139837344,51603.4972614412,53106.9097703155,55032.9579979166,56803.4724334919,57904.2019610641,59927.9298339535,62794.5856522398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"URY","Uruguay","Americas",3359275,3368934,3378974,3389439,3400434,3412009,3424132,3436646,3449299,NA,9.324,9.349,9.376,9.401,9.423,9.44,9.452,9.461,NA,NA,11992.0166266335,14236.6811883717,15171.5846627498,16973.6742131099,16831.972935703,15613.7642726566,15387.14403013,16437.2448692778,17277.9701105496,NA,2800,2900,3100,3200,3400,3600,3700,3900,4000,6700,7100,7400,7800,8200,8600,9000,9500,9900,2800,2900,3100,3200,3400,3600,3700,3900,4000,100,100,100,100,100,100,100,100,100,500,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100
"UZB","Uzbekistan","Asia",28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32955400,NA,4.9,4.9,4.9,4.8,4.9,4.9,4.9,5,NA,NA,1634.31209539718,1926.29299673401,2137.025122118,2281.41097296841,2492.33664277468,2615.025134487,2567.79920656883,1826.56691924216,1532.37167679684,NA,8700,9400,10000,11000,12000,13000,13000,15000,16000,18000,19000,20000,22000,23000,25000,27000,28000,30000,8700,9400,10000,11000,12000,13000,13000,15000,16000,1000,1000,1000,1000,1000,500,500,500,500,1000,1000,1100,1000,1000,1000,1100,1000,1000,500,500,500,500,500,500,500,200,100
"VUT","Vanuatu","Oceania",236211,242653,249499,256635,263888,271130,278330,285510,292680,NA,5.526,5.529,5.527,5.514,5.489,5.45,5.396,5.334,NA,NA,2966.85711598678,3264.5370165591,3133.09020920348,3124.23307756588,3088.25830265504,2801.93984778858,2889.85303623403,3082.35632289041,3123.89339649956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VEN","Venezuela, RB","Americas",28439940,28888369,29362449,29783571,30045134,30081829,29846179,29390409,28870195,NA,5.56,5.676,5.822,5.997,6.197,6.408,6.619,6.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VNM","Vietnam","Asia",87967651,88871561,89802487,90753472,91714595,92677076,93638724,94596642,95540395,NA,5.81,5.867,5.93,5.994,6.06,6.126,6.19,6.253,NA,NA,1317.89070617836,1525.11598800104,1735.14127643805,1886.67189633671,2030.26195473318,2085.10148409879,2192.21453866566,2365.62166567374,2566.59694958511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VIR","Virgin Islands (U.S.)","Americas",108358,108292,108191,108044,107884,107710,107510,107268,106977,NA,6.6,6.6,6.7,6.9,7.1,7.3,7.6,7.8,NA,NA,40043.1901659314,39144.1657740184,37849.7287205036,34819.1477546185,33573.0970301435,34797.14046978,35931.5412519766,35938.0243875154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PSE","West Bank and Gaza","Asia",3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,NA,3.511,3.508,3.505,3.501,3.495,3.488,3.478,3.469,NA,NA,2354.12598671847,2695.19385339015,2834.02152463393,3060.3123893102,3046.82179844817,2967.85174651975,3074.29115236515,3254.48588658763,3198.86664447405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YEM","Yemen, Rep.","Asia",23154855,23807588,24473178,25147109,25823485,26497889,27168210,27834821,28498687,NA,6.189,6.094,6.03,5.992,5.974,5.969,5.972,5.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZMB","Zambia","Africa",13605984,14023193,14465121,14926504,15399753,15879361,16363507,16853688,17351822,NA,10.051,9.304,8.637,8.055,7.565,7.169,6.864,6.633,NA,NA,1489.45906989027,1672.94982959625,1763.09418353303,1878.90348886702,1763.05623909703,1337.79631513515,1280.57844679257,1534.86537052245,1539.90015779907,NA,540000,560000,580000,6e+05,620000,640000,660000,680000,7e+05,380000,4e+05,410000,420000,430000,440000,450000,470000,480000,540000,560000,580000,6e+05,620000,640000,660000,680000,7e+05,5900,5600,5300,4700,3900,3800,3400,2800,3000,10000,9200,8700,7800,6700,6400,6600,6500,6600,10000,9200,8700,8200,8500,8100,7400,6700,7000
"ZWE","Zimbabwe","Africa",12697723,12894316,13115131,13350356,13586681,13814629,14030390,14236745,14439018,NA,13.679,12.384,11.167,10.115,9.277,8.673,8.286,8.044,NA,NA,948.33185445926,1093.65400227511,1304.96980167411,1430.00081795572,1434.89934002278,1445.07106198798,1464.58352903946,1602.40350699048,2146.99638487707,NA,650000,660000,670000,680000,690000,7e+05,710000,720000,730000,450000,450000,460000,460000,470000,480000,480000,490000,490000,650000,660000,670000,680000,690000,7e+05,710000,720000,730000,12000,10000,7500,5600,5000,4900,4000,4200,3300,19000,15000,13000,12000,10000,8900,9000,8900,9000,23000,16000,13000,11000,10000,10000,9600,9700,9700
