Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sub-Saharan Africa,SSF,16.0219712479168,15.0049034063883,11.0142593555347,10.6031782970791,10.2198111298381,9.86557705528986,9.5432557438444,9.25483054584222,9.00273914359549,8.78185402850355,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sub-Saharan Africa (excluding high income),SSA,16.0231068099604,15.0059040461035,11.0146327458767,10.6034429998087,10.2200824760556,9.86575501445106,9.54341069388423,9.25499524372193,9.00284125703461,8.78194364626846,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,16.0219712479168,15.0049034063883,11.0142593555347,10.6031782970791,10.2198111298381,9.86557705528986,9.5432557438444,9.25483054584221,9.00273914359549,8.78185402850355,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Upper middle income,UMC,7.11331292421367,7.09196277807729,7.28865167556445,7.24441870584715,7.22429000840372,7.19502997947504,7.19868291042434,7.16997021611683,7.15713026632856,7.17851816800574,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,World,WLD,9.22586679140821,8.54962624245867,7.84936670496533,7.76776741657143,7.71783736674294,7.65453655924766,7.5970394391536,7.59301025112662,7.54476058797529,7.54240423884828,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/18/2020,,,,,,,,,,,,,,,
