Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Russian Federation,RUS,11.2,15.3,14.2,13.5,13.3,13,13.1,13,12.9,12.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Rwanda,RWA,34.184,14,7.31,6.79,6.384,6.059,5.801,5.597,5.435,5.308,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Samoa,WSM,6.6,6.316,5.848,5.795,5.727,5.645,5.554,5.461,5.372,5.296,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,San Marino,SMR,..,..,6.53333333333333,6.8,7.1,7.4,7.7,7.1,7.6,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sao Tome and Principe,STP,11.061,9.054,5.848,5.669,5.509,5.364,5.232,5.111,5.002,4.908,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Saudi Arabia,SAU,4.913,3.691,3.464,3.441,3.422,3.41,3.407,3.412,3.426,3.446,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Senegal,SEN,11.335,10.752,7.305,7.013,6.753,6.522,6.319,6.141,5.985,5.845,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Serbia,SRB,..,13.8,14.2,14.2,14.2,14,14.2,14.6,14.3,14.8,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Seychelles,SYC,7.7,6.8,7.4,7.9,7.4,8,7.9,7.5,7.9,7.8,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sierra Leone,SLE,25.386,23.594,15.25,14.597,14.008,13.483,13.025,12.63,12.294,12.003,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Singapore,SGP,4.7,4.5,4.4,4.5,4.5,4.6,4.7,4.8,4.8,5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sint Maarten (Dutch part),SXM,..,..,4.1,5.1,5.4,4.7,4.7,4.6,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Slovak Republic,SVK,10.3,9.8,9.9,9.6,9.7,9.6,9.5,9.9,9.6,9.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Slovenia,SVN,9.3,9.3,9.1,9.1,9.4,9.4,9.2,9.6,9.5,9.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Solomon Islands,SLB,6.779,5.561,4.752,4.672,4.592,4.516,4.444,4.38,4.326,4.284,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Somalia,SOM,19.554,15.489,12.869,12.601,12.331,12.06,11.793,11.534,11.289,11.062,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Africa,ZAF,8.082,12.107,12.085,11.483,10.918,10.43,10.044,9.769,9.599,9.498,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,South Sudan,SSD,20.795,16.075,11.984,11.669,11.399,11.171,10.983,10.826,10.694,10.574,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Spain,ESP,8.6,8.9,8.2,8.3,8.6,8.3,8.5,9.1,8.8,9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sri Lanka,LKA,6.5,6.89,6.02,6.076,6.135,6.204,6.282,6.368,6.459,6.554,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Kitts and Nevis,KNA,..,..,..,..,..,..,8.1,..,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Lucia,LCA,6.239,6.666,6.577,6.712,6.84,6.947,7.028,7.084,7.123,7.16,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Martin (French part),MAF,2.8,3.3,3.8,3.9,4,4,4.1,4.2,4.2,4.3,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,St. Vincent and the Grenadines,VCT,6.647,7.248,7.79,8.004,8.234,8.462,8.678,8.87,9.032,9.162,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sudan,SDN,12.045,10.263,8.122,7.946,7.788,7.649,7.53,7.428,7.34,7.261,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Suriname,SUR,7.256,7.453,7.017,7.019,7.039,7.071,7.114,7.164,7.219,7.277,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Sweden,SWE,11.1,10.5,9.6,9.5,9.7,9.4,9.2,9.3,9.2,9.1,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Switzerland,CHE,9.5,8.7,8,7.8,8,8,7.8,8.2,7.8,7.9,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Syrian Arab Republic,SYR,4.509,3.719,4.495,4.878,5.229,5.51,5.697,5.771,5.726,5.584,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tajikistan,TJK,11.425,8.511,5.746,5.643,5.542,5.435,5.322,5.201,5.078,4.961,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tanzania,TZA,14.914,13.808,9.212,8.751,8.305,7.887,7.503,7.161,6.868,6.622,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Thailand,THA,5.707,6.877,7.191,7.213,7.241,7.279,7.327,7.389,7.467,7.559,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Timor-Leste,TLS,16.58,10.366,6.505,6.401,6.332,6.276,6.225,6.169,6.109,6.05,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Togo,TGO,11.973,12.756,10.175,9.826,9.514,9.244,9.02,8.841,8.695,8.568,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tonga,TON,6.225,6.862,7.179,7.205,7.225,7.239,7.245,7.24,7.223,7.194,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Trinidad and Tobago,TTO,7.483,7.598,7.77,7.815,7.866,7.925,7.993,8.07,8.159,8.261,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tunisia,TUN,6.275,5.53,6.194,6.241,6.274,6.294,6.301,6.298,6.287,6.274,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkey,TUR,8.247,6.466,5.697,5.619,5.547,5.484,5.436,5.404,5.39,5.394,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkmenistan,TKM,8.811,7.771,7.214,7.189,7.167,7.145,7.122,7.098,7.076,7.057,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uganda,UGA,18.012,16.511,9.659,9.114,8.605,8.138,7.716,7.345,7.031,6.769,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ukraine,UKR,12.1,15.4,15.2,14.5,14.5,14.6,14.7,14.9,14.7,14.5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Arab Emirates,ARE,2.562,1.869,1.403,1.382,1.369,1.363,1.366,1.377,1.398,1.429,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Kingdom,GBR,11.2,10.3,8.9,8.7,8.9,9,8.8,9.2,9.1,9.2,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United States,USA,8.6,8.5,7.995,8.073,8.102,8.215,8.237,8.44,8.493,8.5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uruguay,URY,9.79,9.417,9.324,9.349,9.376,9.401,9.423,9.44,9.452,9.461,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uzbekistan,UZB,6.1,5.50084067553592,4.9,4.9,4.9,4.8,4.9,4.9,4.9,5,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Vanuatu,VUT,7.117,6.118,5.526,5.529,5.527,5.514,5.489,5.45,5.396,5.334,..,..
