Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Bahamas,1600 ,1400 , 1800,1700 ,1500 , 1900,1800 ,1600 , 2000,1800 ,1600 , 2000,1900 ,1700 , 2000,1900 ,1700 , 2100,1900 ,1700 , 2100,1900 ,1700 , 2200,1900 ,1700 , 2200,2000 ,1700 , 2300,2000 ,1700 , 2300,2000 ,1700 , 2300,2000 ,1700 , 2400,2000 ,1700 , 2400,2100 ,1800 , 2500,2200 ,1900 , 2500,2200 ,2000 , 2600,2300 ,2000 , 2700,2400 ,2100 , 2800,2500 ,2200 , 2900,2600 ,2300 , 2900,2600 ,2400 , 3000,2700 ,2400 , 3000,2700 ,2400 , 3000,2600 ,2300 , 3000,2600 ,2400 , 2900,2600 ,2300 , 2900,2600 ,2300 , 2900,2600 ,2300 , 2800
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,1100 ,<1000 , 1300,1400 ,1200 , 1600,1700 ,1500 , 1900,2000 ,1700 , 2300,2300 ,2000 , 2600,2600 ,2300 , 3000,2900 ,2500 , 3300,3200 ,2700 , 3600,3400 ,3000 , 3900,3700 ,3200 , 4200,4000 ,3500 , 4500,4200 ,3700 , 4800,4500 ,4000 , 5200,4800 ,4200 , 5400
Barbados,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,1000 ,<1000 , 1100
Belarus,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,1000 ,<1000 , 1300,1400 ,1100 , 1700,1800 ,1400 , 2200,2200 ,1900 , 2700,2700 ,2300 , 3400,3300 ,2700 , 4100,3900 ,3200 , 4800,4500 ,3600 , 5600,5200 ,4300 , 6400,5900 ,4900 , 7300,6700 ,5500 , 8300,7600 ,6300 , 9300,8400 ,7000 , 10 000,9200 ,7500 , 11 000,10 000 ,8200 , 12 000,11 000 ,8700 , 13 000,11 000 ,9200 , 15 000
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,1000 ,<1000 , 1100,1100 ,1000 , 1200,1200 ,1100 , 1300,1300 ,1200 , 1500,1400 ,1300 , 1600,1500 ,1300 , 1700,1600 ,1400 , 1700,1700 ,1500 , 1800,1700 ,1600 , 1900,1800 ,1700 , 2000,1900 ,1700 , 2100,2000 ,1800 , 2200,2000 ,1800 , 2300,2100 ,1900 , 2300,2200 ,1900 , 2400,2200 ,2000 , 2500
Benin,1900 ,1200 , 3000,3100 ,2100 , 4900,4900 ,3300 , 7800,7200 ,4800 , 11 000,10 000 ,6700 , 16 000,13 000 ,8600 , 21 000,16 000 ,11 000 , 25 000,18 000 ,12 000 , 29 000,21 000 ,14 000 , 33 000,23 000 ,15 000 , 36 000,25 000 ,16 000 , 39 000,26 000 ,17 000 , 41 000,27 000 ,18 000 , 43 000,28 000 ,19 000 , 45 000,29 000 ,19 000 , 46 000,29 000 ,20 000 , 47 000,30 000 ,20 000 , 47 000,30 000 ,20 000 , 47 000,30 000 ,20 000 , 48 000,31 000 ,21 000 , 50 000,33 000 ,22 000 , 52 000,34 000 ,23 000 , 54 000,35 000 ,24 000 , 56 000,37 000 ,24 000 , 58 000,38 000 ,25 000 , 60 000,39 000 ,26 000 , 62 000,40 000 ,27 000 , 63 000,41 000 ,27 000 , 65 000,42 000 ,28 000 , 66 000
Bhutan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Bolivia (Plurinational State of),<100 ,<100 , <100,<200 ,<200 , <200,<500 ,<500 , <500,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,1500 ,1400 , 1600,2300 ,2200 , 2500,3300 ,3100 , 3500,4300 ,4000 , 4600,5200 ,4900 , 5600,6000 ,5700 , 6500,6700 ,6300 , 7200,7100 ,6700 , 7800,7400 ,7000 , 8000,7500 ,7100 , 8100,7500 ,7000 , 8100,7300 ,6800 , 7900,7100 ,6500 , 7700,6900 ,6300 , 7500,6700 ,6000 , 7300,6500 ,5800 , 7200,6300 ,5700 , 7000,6200 ,5500 , 6900,6200 ,5600 , 6900,6200 ,5600 , 6900,6300 ,5800 , 7000,6500 ,5900 , 7100,6700 ,6200 , 7300,6900 ,6400 , 7500
