Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Bahamas,3200 ,2800 , 3600,3300 ,2900 , 3700,3400 ,2900 , 3800,3400 ,3000 , 3900,3400 ,2900 , 3800,3300 ,2900 , 3800,3200 ,2800 , 3700,3100 ,2700 , 3600,3000 ,2500 , 3500,2800 ,2400 , 3300,2700 ,2300 , 3200,2700 ,2200 , 3200,2600 ,2100 , 3100,2500 ,2000 , 3100,2600 ,2100 , 3100,2600 ,2200 , 3100,2700 ,2200 , 3100,2700 ,2300 , 3200,2800 ,2400 , 3300,2800 ,2400 , 3300,2900 ,2500 , 3400,3000 ,2600 , 3500,3100 ,2700 , 3500,3100 ,2700 , 3600,3100 ,2700 , 3500,3200 ,2800 , 3600,3200 ,2800 , 3600,3200 ,2800 , 3600,3300 ,2800 , 3700
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,1300 ,1200 , 1500,1800 ,1600 , 2000,2300 ,2000 , 2600,2800 ,2500 , 3200,3300 ,2900 , 3800,3700 ,3200 , 4300,4100 ,3600 , 4800,4500 ,3900 , 5200,4800 ,4200 , 5600,5200 ,4400 , 6000,5500 ,4700 , 6400,6000 ,5100 , 6900,6400 ,5600 , 7400,7000 ,6000 , 8000,7500 ,6500 , 8600,8100 ,7100 , 9300,8700 ,7600 , 9900
Barbados,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,1000 ,<1000 , 1100,1100 ,<1000 , 1200,1200 ,1000 , 1300,1300 ,1100 , 1400,1400 ,1200 , 1500,1400 ,1300 , 1600,1500 ,1300 , 1700,1600 ,1400 , 1800,1700 ,1400 , 1900,1700 ,1500 , 2000,1800 ,1500 , 2000,1800 ,1600 , 2100,1900 ,1600 , 2200,1900 ,1600 , 2200,1900 ,1700 , 2200,2000 ,1700 , 2300
Belarus,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,1100 ,<1000 , 1500,1500 ,1200 , 1900,1900 ,1600 , 2500,2500 ,2100 , 3100,3100 ,2600 , 3900,3900 ,3200 , 4800,4700 ,3900 , 5800,5500 ,4500 , 6800,6300 ,5200 , 7800,7200 ,6000 , 8800,8100 ,6700 , 10 000,9100 ,7600 , 11 000,10 000 ,8400 , 13 000,11 000 ,9300 , 14 000,12 000 ,10 000 , 15 000,13 000 ,11 000 , 17 000,14 000 ,12 000 , 18 000,15 000 ,12 000 , 19 000
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,1000 ,<1000 , 1100,1100 ,<1000 , 1200,1200 ,1100 , 1400,1300 ,1200 , 1500,1400 ,1300 , 1600,1500 ,1400 , 1700,1600 ,1500 , 1800,1700 ,1500 , 1900,1800 ,1600 , 2000,1900 ,1700 , 2100,2000 ,1800 , 2200,2100 ,1800 , 2300,2200 ,1900 , 2400,2200 ,2000 , 2500,2300 ,2000 , 2600,2400 ,2100 , 2600,2400 ,2200 , 2700,2500 ,2200 , 2800
Benin,2100 ,1400 , 3400,3300 ,2200 , 5200,4900 ,3200 , 7800,6800 ,4500 , 11 000,9000 ,6000 , 14 000,11 000 ,7400 , 18 000,13 000 ,8700 , 21 000,15 000 ,9900 , 24 000,16 000 ,11 000 , 26 000,18 000 ,12 000 , 28 000,19 000 ,12 000 , 30 000,20 000 ,13 000 , 31 000,20 000 ,13 000 , 33 000,21 000 ,14 000 , 33 000,21 000 ,14 000 , 34 000,21 000 ,14 000 , 34 000,22 000 ,14 000 , 34 000,22 000 ,14 000 , 34 000,22 000 ,14 000 , 34 000,22 000 ,15 000 , 36 000,23 000 ,15 000 , 37 000,24 000 ,16 000 , 38 000,24 000 ,16 000 , 38 000,25 000 ,16 000 , 39 000,25 000 ,17 000 , 40 000,26 000 ,17 000 , 41 000,26 000 ,17 000 , 41 000,26 000 ,17 000 , 42 000,27 000 ,18 000 , 43 000
Bhutan,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 1900,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<500 , 2000,<1000 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 1900
Bolivia (Plurinational State of),<500 ,<500 , <500,<500 ,<500 , <500,<1000 ,<1000 , <1000,1400 ,1200 , 1500,2300 ,2100 , 2600,3800 ,3400 , 4200,5800 ,5200 , 6300,8100 ,7300 , 8900,10 000 ,9400 , 11 000,13 000 ,11 000 , 14 000,15 000 ,13 000 , 16 000,16 000 ,15 000 , 18 000,17 000 ,16 000 , 19 000,18 000 ,16 000 , 19 000,18 000 ,16 000 , 19 000,18 000 ,16 000 , 19 000,17 000 ,15 000 , 19 000,17 000 ,15 000 , 18 000,16 000 ,14 000 , 18 000,16 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000,15 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,15 000 ,13 000 , 16 000,15 000 ,13 000 , 17 000
